id,nome,cnpj_base
329,Qi Sociedade de Crédito Direto S.A.,32402502
330,Banco Bari de Investimentos e Financiamentos S.A.,00556603
331,Fram Capital Distribuidora de Títulos e Valores Mobiliários S.A.,13673855
332,Acesso Soluções de Pagamento S.A.,13140088
335,Banco Digio S.A.,27098060
336,Banco C6 S.A.,31872495
340,Super Pagamentos e Administração de Meios Eletrônicos S.A.,09554480
341,Itaú Unibanco S.A.,60701190
342,Creditas Sociedade de Crédito Direto S.A.,32997490
343,FFA Sociedade de Crédito ao Microempreendedor e à Empresa de Pequeno Porte Ltda,24537861
348,Banco XP S.A.,33264668
349,Al5 S.A. Crédito,27214112
352,Toro Corretora de Títulos e Valores Mobiliários Ltda,29162769
354,Necton Investimentos S.A. Corretora de Valores Mobiliários e Commodities,52904364
355,Ótimo Sociedade de Crédito Direto S.A.,34335592
359,Zema Crédito,05351887
362,Cielo S.A.,01027058
363,Socopa Sociedade Corretora Paulista S.A.,62285390
364,Gerencianet S.A.,09089356
365,Solidus S.A. Corretora de Câmbio e Valores Mobiliários,68757681
366,Banco Société Générale Brasil S.A.,61533584
367,Vitreo Distribuidora de Títulos e Valores Mobiliários S.A.,34711571
368,Banco CSF S.A.,08357240
370,Banco Mizuho do Brasil S.A.,61088183
373,UP.P Sociedade de Empréstimo Entre Pessoas S.A.,35977097
374,Realize Crédito,27351731
376,Banco J.P. Morgan S.A.,33172537
378,BBC Leasing S.A. - Arrendamento Mercantil,01852137
380,PicPay Serviços S.A.,22896431
381,Banco Mercedes-Benz do Brasil S.A.,60814191
384,Global Finanças - Sociedade de Crédito ao Microempreendedor e a Empresa de Pequeno Porte Ltda,11165756
387,Banco Toyota do Brasil S.A.,03215790
389,Banco Mercantil do Brasil S.A.,17184037
390,Banco GM S.A.,59274605
391,Cooperativa de Crédito Rural de Ibiam - Sulcredi/Ibiam,08240446
393,Banco Volkswagen S.A.,59109165
394,Banco Bradesco Financiamentos S.A.,07207996
396,Hub Pagamentos S.A,13884775
397,Listo Sociedade de Crédito Direto S.A.,34088029
399,Kirton Bank S.A. - Banco Múltiplo,01701201
403,Cora Sociedade de Crédito Direto S.A.,37880206
404,Sumup Sociedade de Crédito Direto S.A.,37241230
408,Bónuscred Sociedade de Crédito Direto S.A.,36586946
412,Banco Capital S.A.,15173776
422,Banco Safra S.A.,58160789
456,Banco MUFG Brasil S.A.,60498557
464,Banco Sumitomo Mitsui Brasileiro S.A.,60518222
473,Banco Caixa Geral - Brasil S.A.,33466988
477,Citibank N.A.,33042953
479,Banco Itaubank S.A.,60394079
487,Deutsche Bank S.A.,62331228
488,JPMorgan Chase Bank,46518205
492,ING Bank N.V.,49336860
495,Banco de La Provincia de Buenos Aires,44189447
505,Banco Credit Suisse (Brasil) S.A.,32062580
545,Senso Corretora de Câmbio e Valores Mobiliários S.A,17352220
600,Banco Luso Brasileiro S.A.,59118133
604,Banco Industrial do Brasil S.A.,31895683
610,Banco VR S.A.,78626983
611,Banco Paulista S.A.,61820817
612,Banco Guanabara S.A.,31880826
613,Omni Banco S.A.,60850229
623,Banco Pan S.A.,59285411
626,Banco C6 Consignado S.A.,61348538
630,Banco Smartbank S.A.,58497702
633,Banco Rendimento S.A.,68900810
634,Banco Triângulo S.A.,17351180
637,Banco Sofisa S.A.,60889128
643,Banco Pine S.A.,62144175
652,Itaú Unibanco Holding S.A.,60872504
653,Banco Indusval S.A.,61024352
654,Banco Digimais S.A.,92874270
655,Banco Votorantim S.A.,59588111
707,Banco Daycoval S.A.,62232889
712,Banco Ourinvest S.A.,78632767
739,Banco Cetelem S.A.,00558456
741,Banco Ribeirão Preto S.A.,00517645
743,Banco Semear S.A.,00795423
745,Banco Citibank S.A.,33479023
746,Banco Modal S.A.,30723886
747,Banco Rabobank International Brasil S.A.,01023570
748,Banco Cooperativo Sicredi S.A.,01181521
751,Scotiabank Brasil S.A. Banco Múltiplo,29030467
752,Banco BNP Paribas Brasil S.A.,01522368
753,Novo Banco Continental S.A. - Banco Múltiplo,74828799
754,Banco Sistema S.A.,76543115
755,Bank of America Merrill Lynch Banco Múltiplo S.A.,62073200
756,Banco Cooperativo do Brasil S.A. - Bancoob - Sicoob,02038232
757,Banco Keb Hana do Brasil S.A.,02318507
